,243,-136,,820,,-249,727,,,,-716,8,-224,-50,,,,-496,981
,,-220,,530,,-175,-724,84,-777,,,,813,,,-595,-73,892,245
,33,,,-309,,,-756,615,547,,,263,499,-438,,-441,716,,974
,,635,,-848,,-391,-512,608,-395,,-847,-805,,-339,,574,-705,,
,-679,,66,508,,-462,-198,,130,,-671,205,-929,-90,,-478,885,,626
,-949,681,-492,,,-340,-828,176,,,786,278,,344,,,,397,
,995,,335,151,,,738,631,873,,-256,60,-3,-418,,,148,,623
,608,,562,37,,,882,802,,,740,,246,-258,,,-693,111,731
,-166,343,,386,,989,-608,-255,,,-870,,558,406,,985,-458,731,-883
,-109,832,,38,,-982,,-404,,,-521,,340,547,,-796,,-491,-264
,,-50,-579,,,-803,-384,810,-564,,208,951,979,-317,,,,-279,461
,,83,-607,-958,,-974,-761,-117,-551,,-168,391,-858,192,,641,746,442,916
,931,-957,-216,592,,113,398,,,,-303,-294,-378,170,,-704,-899,-702,
,136,106,,-156,,159,,452,918,,-288,-697,-618,,,926,237,-904,51
,567,-374,-390,590,,-125,457,234,-473,,156,-256,220,-670,,-60,544,256,760
,869,-650,948,557,,,232,-945,-649,,-824,-803,570,-641,,-873,-319,-761,-100
,-824,-437,861,-363,,350,-638,-307,-18,,,-757,556,888,,-484,,,
,24,110,265,412,,949,-46,-821,,,-83,-927,,-858,,-326,84,658,725
,455,-851,524,-446,,886,792,487,,,936,-56,,136,,-432,875,865,579
,,-858,-773,372,,549,793,-521,-949,,975,51,186,89,,-586,-407,577,686
